1:Cosmic Shift Part 1 (1982):Documentary|Children's|Action
2:Velvet Fog Part 2 (1995):Film-Noir
3:Epic Journey Part 3 (2016):Romance|Fantasy|Comedy
4:Velvet Fog Part 4 (2009):Action
5:Velvet Fog Part 5 (1986):War|Comedy
6:Urban Legends Part 1 (1993):Western|Romance|Horror
7:Velvet Fog Part 2 (2022):Thriller
8:Epic Journey Part 3 (2019):Western|Mystery
9:Steel Heart Part 4 (2017):Film-Noir|Crime
10:Epic Journey Part 5 (2010):Western|Thriller|Mystery
11:Epic Journey Part 1 (2015):Thriller
12:Silent Witness Part 2 (2024):Animation|Comedy|Film-Noir
13:Digital Dream Part 3 (1984):Musical
14:Silent Witness Part 4 (1996):Horror
15:Crimson Tide Part 5 (2016):Mystery|War|Romance
16:Silent Witness Part 1 (2001):Romance|Adventure|Thriller
17:Forgotten Path Part 2 (1993):Children's|Comedy
18:Velvet Fog Part 3 (1986):Film-Noir|Animation
19:Midnight Bloom Part 4 (2012):Western|Romance|Children's
20:Crimson Tide Part 5 (2020):Adventure|Film-Noir
21:Digital Dream Part 1 (1989):Thriller|Drama|Sci-Fi
22:Urban Legends Part 2 (2013):Musical|Animation|Romance
23:Cosmic Shift Part 3 (1987):Western|Children's
24:Midnight Bloom Part 4 (2018):Horror
25:Steel Heart Part 5 (1987):Documentary|Crime|Children's
26:Steel Heart Part 1 (2023):Thriller|Drama
27:Steel Heart Part 2 (1982):Fantasy|Horror|Animation
28:Velvet Fog Part 3 (2014):War|Animation
29:Crimson Tide Part 4 (2005):Romance
30:Epic Journey Part 5 (1981):Fantasy|Animation
31:Digital Dream Part 1 (2022):War
32:Digital Dream Part 2 (1987):Action
33:Midnight Bloom Part 3 (2000):Crime
34:Urban Legends Part 4 (2017):Fantasy
35:Epic Journey Part 5 (2012):Western
36:Digital Dream Part 1 (2017):Mystery|Crime|Action
37:Digital Dream Part 2 (1993):Horror|Adventure
38:Midnight Bloom Part 3 (1986):Mystery|Film-Noir|Fantasy
